"source_id","source_type","source_title","relation_type","target_id","target_type","target_title","note","source_file","target_file","status"
"CAS-context-engineering","案例单元","""上下文工程：一个具体场景""","解释","CON-context-engineering","概念单元","""上下文工程""","""本案例用来说明「上下文工程」""","02-内容单元库/案例单元/CAS-context-engineering_上下文工程：一个具体场景.md","02-内容单元库/概念单元/CON-context-engineering_上下文工程.md","有效"
"CAS-context-rot","案例单元","""上下文腐烂：一个具体场景""","解释","CON-context-rot","概念单元","""上下文腐烂""","""本案例用来说明「上下文腐烂」""","02-内容单元库/案例单元/CAS-context-rot_上下文腐烂：一个具体场景.md","02-内容单元库/概念单元/CON-context-rot_上下文腐烂.md","有效"
"CAS-context-selection","案例单元","""上下文选择：一个具体场景""","解释","CON-context-selection","概念单元","""上下文选择""","""本案例用来说明「上下文选择」""","02-内容单元库/案例单元/CAS-context-selection_上下文选择：一个具体场景.md","02-内容单元库/概念单元/CON-context-selection_上下文选择.md","有效"
"CAS-context-window","案例单元","""上下文窗口：一个具体场景""","解释","CON-context-window","概念单元","""上下文窗口""","""本案例用来说明「上下文窗口」""","02-内容单元库/案例单元/CAS-context-window_上下文窗口：一个具体场景.md","02-内容单元库/概念单元/CON-context-window_上下文窗口.md","有效"
"CAS-durable-execution","案例单元","""持久化执行：一个具体场景""","解释","CON-durable-execution","概念单元","""持久化执行""","""本案例用来说明「持久化执行」""","02-内容单元库/案例单元/CAS-durable-execution_持久化执行：一个具体场景.md","02-内容单元库/概念单元/CON-durable-execution_持久化执行.md","有效"
"CAS-dynamic-context-assembly","案例单元","""动态上下文装配：一个具体场景""","解释","CON-dynamic-context-assembly","概念单元","""动态上下文装配""","""本案例用来说明「动态上下文装配」""","02-内容单元库/案例单元/CAS-dynamic-context-assembly_动态上下文装配：一个具体场景.md","02-内容单元库/概念单元/CON-dynamic-context-assembly_动态上下文装配.md","有效"
"CAS-error-handling","案例单元","""错误处理：一个具体场景""","解释","CON-error-handling","概念单元","""错误处理""","""本案例用来说明「错误处理」""","02-内容单元库/案例单元/CAS-error-handling_错误处理：一个具体场景.md","02-内容单元库/概念单元/CON-error-handling_错误处理.md","有效"
"CAS-event-driven-agent-automation","案例单元","""事件驱动的 Agent 自动化：一个具体场景""","解释","CON-event-driven-agent-automation","概念单元","""事件驱动的 Agent 自动化""","""本案例用来说明「事件驱动的 Agent 自动化」""","02-内容单元库/案例单元/CAS-event-driven-agent-automation_事件驱动的 Agent 自动化：一个具体场景.md","02-内容单元库/概念单元/CON-event-driven-agent-automation_事件驱动的 Agent 自动化.md","有效"
"CAS-filesystem-workspace","案例单元","""文件系统工作区：一个具体场景""","解释","CON-filesystem-workspace","概念单元","""文件系统工作区""","""本案例用来说明「文件系统工作区」""","02-内容单元库/案例单元/CAS-filesystem-workspace_文件系统工作区：一个具体场景.md","02-内容单元库/概念单元/CON-filesystem-workspace_文件系统工作区.md","有效"
"CAS-guardrails","案例单元","""护栏：一个具体场景""","解释","CON-guardrails","概念单元","""护栏""","""本案例用来说明「护栏」""","02-内容单元库/案例单元/CAS-guardrails_护栏：一个具体场景.md","02-内容单元库/概念单元/CON-guardrails_护栏.md","有效"
"CAS-harness-compute-separation","案例单元","""Harness 与计算分离：一个具体场景""","解释","CON-harness-compute-separation","概念单元","""Harness 与计算分离""","""本案例用来说明「Harness 与计算分离」""","02-内容单元库/案例单元/CAS-harness-compute-separation_Harness 与计算分离：一个具体场景.md","02-内容单元库/概念单元/CON-harness-compute-separation_Harness 与计算分离.md","有效"
"CAS-harness-engineering","案例单元","""Harness 工程：一个具体场景""","解释","CON-harness-engineering","概念单元","""Harness 工程""","""本案例用来说明「Harness 工程」""","02-内容单元库/案例单元/CAS-harness-engineering_Harness 工程：一个具体场景.md","02-内容单元库/概念单元/CON-harness-engineering_Harness 工程.md","有效"
"CAS-harness-overfitting","案例单元","""Harness 过拟合：一个具体场景""","解释","CON-harness-overfitting","概念单元","""Harness 过拟合""","""本案例用来说明「Harness 过拟合」""","02-内容单元库/案例单元/CAS-harness-overfitting_Harness 过拟合：一个具体场景.md","02-内容单元库/概念单元/CON-harness-overfitting_Harness 过拟合.md","有效"
"CAS-harness-token-floor","案例单元","""Harness Token 底座：一个具体场景""","解释","CON-harness-token-floor","概念单元","""Harness Token 底座""","""本案例用来说明「Harness Token 底座」""","02-内容单元库/案例单元/CAS-harness-token-floor_Harness Token 底座：一个具体场景.md","02-内容单元库/概念单元/CON-harness-token-floor_Harness Token 底座.md","有效"
"CAS-human-escalation-tool-call","案例单元","""人类升级工具调用：一个具体场景""","解释","CON-human-escalation-tool-call","概念单元","""人类升级工具调用""","""本案例用来说明「人类升级工具调用」""","02-内容单元库/案例单元/CAS-human-escalation-tool-call_人类升级工具调用：一个具体场景.md","02-内容单元库/概念单元/CON-human-escalation-tool-call_人类升级工具调用.md","有效"
"CAS-instruction-locality","案例单元","""指令就近原则：一个具体场景""","解释","CON-instruction-locality","概念单元","""指令就近原则""","""本案例用来说明「指令就近原则」""","02-内容单元库/案例单元/CAS-instruction-locality_指令就近原则：一个具体场景.md","02-内容单元库/概念单元/CON-instruction-locality_指令就近原则.md","有效"
"CAS-just-in-time-retrieval","案例单元","""即时检索：一个具体场景""","解释","CON-just-in-time-retrieval","概念单元","""即时检索""","""本案例用来说明「即时检索」""","02-内容单元库/案例单元/CAS-just-in-time-retrieval_即时检索：一个具体场景.md","02-内容单元库/概念单元/CON-just-in-time-retrieval_即时检索.md","有效"
"CAS-large-language-model","案例单元","""大语言模型：一个具体场景""","解释","CON-large-language-model","概念单元","""大语言模型""","""本案例用来说明「大语言模型」""","02-内容单元库/案例单元/CAS-large-language-model_大语言模型：一个具体场景.md","02-内容单元库/概念单元/CON-large-language-model_大语言模型.md","有效"
"CAS-llm-statelessness","案例单元","""LLM 无状态性：一个具体场景""","解释","CON-llm-statelessness","概念单元","""LLM 无状态性""","""本案例用来说明「LLM 无状态性」""","02-内容单元库/案例单元/CAS-llm-statelessness_LLM 无状态性：一个具体场景.md","02-内容单元库/概念单元/CON-llm-statelessness_LLM 无状态性.md","有效"
"CAS-llm-token","案例单元","""模型词元：一个具体场景""","解释","CON-llm-token","概念单元","""模型词元""","""本案例用来说明「模型词元」""","02-内容单元库/案例单元/CAS-llm-token_模型词元：一个具体场景.md","02-内容单元库/概念单元/CON-llm-token_模型词元.md","有效"
"CAS-lost-in-the-middle","案例单元","""迷失在中间：一个具体场景""","解释","CON-lost-in-the-middle","概念单元","""迷失在中间""","""本案例用来说明「迷失在中间」""","02-内容单元库/案例单元/CAS-lost-in-the-middle_迷失在中间：一个具体场景.md","02-内容单元库/概念单元/CON-lost-in-the-middle_迷失在中间.md","有效"
"CAS-memory","案例单元","""记忆：一个具体场景""","解释","CON-memory","概念单元","""记忆""","""本案例用来说明「记忆」""","02-内容单元库/案例单元/CAS-memory_记忆：一个具体场景.md","02-内容单元库/概念单元/CON-memory_记忆.md","有效"
"CAS-minimal-sufficient-context","案例单元","""最小充分上下文：一个具体场景""","解释","CON-minimal-sufficient-context","概念单元","""最小充分上下文""","""本案例用来说明「最小充分上下文」""","02-内容单元库/案例单元/CAS-minimal-sufficient-context_最小充分上下文：一个具体场景.md","02-内容单元库/概念单元/CON-minimal-sufficient-context_最小充分上下文.md","有效"
"CAS-model-context-protocol","案例单元","""模型上下文协议：一个具体场景""","解释","CON-model-context-protocol","概念单元","""模型上下文协议""","""本案例用来说明「模型上下文协议」""","02-内容单元库/案例单元/CAS-model-context-protocol_模型上下文协议：一个具体场景.md","02-内容单元库/概念单元/CON-model-context-protocol_模型上下文协议.md","有效"
"CAS-multi-step-reliability-decay","案例单元","""多步可靠性衰减：一个具体场景""","解释","CON-multi-step-reliability-decay","概念单元","""多步可靠性衰减""","""本案例用来说明「多步可靠性衰减」""","02-内容单元库/案例单元/CAS-multi-step-reliability-decay_多步可靠性衰减：一个具体场景.md","02-内容单元库/概念单元/CON-multi-step-reliability-decay_多步可靠性衰减.md","有效"
"CAS-observability","案例单元","""可观测性：一个具体场景""","解释","CON-observability","概念单元","""可观测性""","""本案例用来说明「可观测性」""","02-内容单元库/案例单元/CAS-observability_可观测性：一个具体场景.md","02-内容单元库/概念单元/CON-observability_可观测性.md","有效"
"CAS-observation-masking","案例单元","""观察掩码：一个具体场景""","解释","CON-observation-masking","概念单元","""观察掩码""","""本案例用来说明「观察掩码」""","02-内容单元库/案例单元/CAS-observation-masking_观察掩码：一个具体场景.md","02-内容单元库/概念单元/CON-observation-masking_观察掩码.md","有效"
"CAS-permission-boundary","案例单元","""权限边界：一个具体场景""","解释","CON-permission-boundary","概念单元","""权限边界""","""本案例用来说明「权限边界」""","02-内容单元库/案例单元/CAS-permission-boundary_权限边界：一个具体场景.md","02-内容单元库/概念单元/CON-permission-boundary_权限边界.md","有效"
"CAS-persistent-code-graph","案例单元","""持久化代码图谱：一个具体场景""","解释","CON-persistent-code-graph","概念单元","""持久化代码图谱""","""本案例用来说明「持久化代码图谱」""","02-内容单元库/案例单元/CAS-persistent-code-graph_持久化代码图谱：一个具体场景.md","02-内容单元库/概念单元/CON-persistent-code-graph_持久化代码图谱.md","有效"
"CAS-progressive-disclosure","案例单元","""渐进式披露：一个具体场景""","解释","CON-progressive-disclosure","概念单元","""渐进式披露""","""本案例用来说明「渐进式披露」""","02-内容单元库/案例单元/CAS-progressive-disclosure_渐进式披露：一个具体场景.md","02-内容单元库/概念单元/CON-progressive-disclosure_渐进式披露.md","有效"
"CAS-prompt","案例单元","""提示：一个具体场景""","解释","CON-prompt","概念单元","""提示""","""本案例用来说明「提示」""","02-内容单元库/案例单元/CAS-prompt_提示：一个具体场景.md","02-内容单元库/概念单元/CON-prompt_提示.md","有效"
"CAS-prompt-caching","案例单元","""提示词缓存：一个具体场景""","解释","CON-prompt-caching","概念单元","""提示词缓存""","""本案例用来说明「提示词缓存」""","02-内容单元库/案例单元/CAS-prompt-caching_提示词缓存：一个具体场景.md","02-内容单元库/概念单元/CON-prompt-caching_提示词缓存.md","有效"
"CAS-prompt-engineering","案例单元","""提示词工程：一个具体场景""","解释","CON-prompt-engineering","概念单元","""提示词工程""","""本案例用来说明「提示词工程」""","02-内容单元库/案例单元/CAS-prompt-engineering_提示词工程：一个具体场景.md","02-内容单元库/概念单元/CON-prompt-engineering_提示词工程.md","有效"
"CAS-prompt-injection","案例单元","""提示注入：一个具体场景""","解释","CON-prompt-injection","概念单元","""提示注入""","""本案例用来说明「提示注入」""","02-内容单元库/案例单元/CAS-prompt-injection_提示注入：一个具体场景.md","02-内容单元库/概念单元/CON-prompt-injection_提示注入.md","有效"
"CAS-reasoning-effort","案例单元","""推理强度：一个具体场景""","解释","CON-reasoning-effort","概念单元","""推理强度""","""本案例用来说明「推理强度」""","02-内容单元库/案例单元/CAS-reasoning-effort_推理强度：一个具体场景.md","02-内容单元库/概念单元/CON-reasoning-effort_推理强度.md","有效"
"CAS-repository-source-of-truth","案例单元","""仓库事实真源：一个具体场景""","解释","CON-repository-source-of-truth","概念单元","""仓库事实真源""","""本案例用来说明「仓库事实真源」""","02-内容单元库/案例单元/CAS-repository-source-of-truth_仓库事实真源：一个具体场景.md","02-内容单元库/概念单元/CON-repository-source-of-truth_仓库事实真源.md","有效"
"CAS-restorable-compression","案例单元","""可恢复压缩：一个具体场景""","解释","CON-restorable-compression","概念单元","""可恢复压缩""","""本案例用来说明「可恢复压缩」""","02-内容单元库/案例单元/CAS-restorable-compression_可恢复压缩：一个具体场景.md","02-内容单元库/概念单元/CON-restorable-compression_可恢复压缩.md","有效"
"CAS-retrieval-reasoning-dual-task-load","案例单元","""检索—推理双任务负担：一个具体场景""","解释","CON-retrieval-reasoning-dual-task-load","概念单元","""检索—推理双任务负担""","""本案例用来说明「检索—推理双任务负担」""","02-内容单元库/案例单元/CAS-retrieval-reasoning-dual-task-load_检索—推理双任务负担：一个具体场景.md","02-内容单元库/概念单元/CON-retrieval-reasoning-dual-task-load_检索—推理双任务负担.md","有效"
"CAS-risk-tiered-autofixing","案例单元","""风险分级自动修复：一个具体场景""","解释","CON-risk-tiered-autofixing","概念单元","""风险分级自动修复""","""本案例用来说明「风险分级自动修复」""","02-内容单元库/案例单元/CAS-risk-tiered-autofixing_风险分级自动修复：一个具体场景.md","02-内容单元库/概念单元/CON-risk-tiered-autofixing_风险分级自动修复.md","有效"
"CAS-runnable-evidence","案例单元","""可运行证据：一个具体场景""","解释","CON-runnable-evidence","概念单元","""可运行证据""","""本案例用来说明「可运行证据」""","02-内容单元库/案例单元/CAS-runnable-evidence_可运行证据：一个具体场景.md","02-内容单元库/概念单元/CON-runnable-evidence_可运行证据.md","有效"
"CAS-sandbox","案例单元","""沙箱：一个具体场景""","解释","CON-sandbox","概念单元","""沙箱""","""本案例用来说明「沙箱」""","02-内容单元库/案例单元/CAS-sandbox_沙箱：一个具体场景.md","02-内容单元库/概念单元/CON-sandbox_沙箱.md","有效"
"CAS-skill","案例单元","""Agent Skill：一个具体场景""","解释","CON-skill","概念单元","""Agent Skill""","""本案例用来说明「Agent Skill」""","02-内容单元库/案例单元/CAS-skill_Agent Skill：一个具体场景.md","02-内容单元库/概念单元/CON-skill_Agent Skill.md","有效"
"CAS-skill-chaining","案例单元","""Skill 链式调用：一个具体场景""","解释","CON-skill-chaining","概念单元","""Skill 链式调用""","""本案例用来说明「Skill 链式调用」""","02-内容单元库/案例单元/CAS-skill-chaining_Skill 链式调用：一个具体场景.md","02-内容单元库/概念单元/CON-skill-chaining_Skill 链式调用.md","有效"
"CAS-skill-trigger-condition","案例单元","""Skill 触发条件：一个具体场景""","解释","CON-skill-trigger-condition","概念单元","""Skill 触发条件""","""本案例用来说明「Skill 触发条件」""","02-内容单元库/案例单元/CAS-skill-trigger-condition_Skill 触发条件：一个具体场景.md","02-内容单元库/概念单元/CON-skill-trigger-condition_Skill 触发条件.md","有效"
"CAS-state-management","案例单元","""状态管理：一个具体场景""","解释","CON-state-management","概念单元","""状态管理""","""本案例用来说明「状态管理」""","02-内容单元库/案例单元/CAS-state-management_状态管理：一个具体场景.md","02-内容单元库/概念单元/CON-state-management_状态管理.md","有效"
"CAS-subagent-orchestration","案例单元","""子 Agent 编排：一个具体场景""","解释","CON-subagent-orchestration","概念单元","""子 Agent 编排""","""本案例用来说明「子 Agent 编排」""","02-内容单元库/案例单元/CAS-subagent-orchestration_子 Agent 编排：一个具体场景.md","02-内容单元库/概念单元/CON-subagent-orchestration_子 Agent 编排.md","有效"
"CAS-system-prompt","案例单元","""系统提示：一个具体场景""","解释","CON-system-prompt","概念单元","""系统提示""","""本案例用来说明「系统提示」""","02-内容单元库/案例单元/CAS-system-prompt_系统提示：一个具体场景.md","02-内容单元库/概念单元/CON-system-prompt_系统提示.md","有效"
"CAS-system-prompt-altitude","案例单元","""系统提示抽象高度：一个具体场景""","解释","CON-system-prompt-altitude","概念单元","""系统提示抽象高度""","""本案例用来说明「系统提示抽象高度」""","02-内容单元库/案例单元/CAS-system-prompt-altitude_系统提示抽象高度：一个具体场景.md","02-内容单元库/概念单元/CON-system-prompt-altitude_系统提示抽象高度.md","有效"
"CAS-tacit-knowledge","案例单元","""隐性知识：一个具体场景""","解释","CON-tacit-knowledge","概念单元","""隐性知识""","""本案例用来说明「隐性知识」""","02-内容单元库/案例单元/CAS-tacit-knowledge_隐性知识：一个具体场景.md","02-内容单元库/概念单元/CON-tacit-knowledge_隐性知识.md","有效"
"CAS-tool","案例单元","""工具：一个具体场景""","解释","CON-tool","概念单元","""工具""","""本案例用来说明「工具」""","02-内容单元库/案例单元/CAS-tool_工具：一个具体场景.md","02-内容单元库/概念单元/CON-tool_工具.md","有效"
"CAS-tool-schema-tax","案例单元","""工具 Schema 税：一个具体场景""","解释","CON-tool-schema-tax","概念单元","""工具 Schema 税""","""本案例用来说明「工具 Schema 税」""","02-内容单元库/案例单元/CAS-tool-schema-tax_工具 Schema 税：一个具体场景.md","02-内容单元库/概念单元/CON-tool-schema-tax_工具 Schema 税.md","有效"
"CAS-tool-scoping","案例单元","""工具收窄：一个具体场景""","解释","CON-tool-scoping","概念单元","""工具收窄""","""本案例用来说明「工具收窄」""","02-内容单元库/案例单元/CAS-tool-scoping_工具收窄：一个具体场景.md","02-内容单元库/概念单元/CON-tool-scoping_工具收窄.md","有效"
"CAS-tool-workflow-fit","案例单元","""工具—工作流适配：一个具体场景""","解释","CON-tool-workflow-fit","概念单元","""工具—工作流适配""","""本案例用来说明「工具—工作流适配」""","02-内容单元库/案例单元/CAS-tool-workflow-fit_工具—工作流适配：一个具体场景.md","02-内容单元库/概念单元/CON-tool-workflow-fit_工具—工作流适配.md","有效"
"CAS-trace-based-evals","案例单元","""基于轨迹的评测：一个具体场景""","解释","CON-trace-based-evals","概念单元","""基于轨迹的评测""","""本案例用来说明「基于轨迹的评测」""","02-内容单元库/案例单元/CAS-trace-based-evals_基于轨迹的评测：一个具体场景.md","02-内容单元库/概念单元/CON-trace-based-evals_基于轨迹的评测.md","有效"
"CAS-ubiquitous-language","案例单元","""统一语言：一个具体场景""","解释","CON-ubiquitous-language","概念单元","""统一语言""","""本案例用来说明「统一语言」""","02-内容单元库/案例单元/CAS-ubiquitous-language_统一语言：一个具体场景.md","02-内容单元库/概念单元/CON-ubiquitous-language_统一语言.md","有效"
"CAS-verifiable-goal","案例单元","""可验证目标：一个具体场景""","解释","CON-verifiable-goal","概念单元","""可验证目标""","""本案例用来说明「可验证目标」""","02-内容单元库/案例单元/CAS-verifiable-goal_可验证目标：一个具体场景.md","02-内容单元库/概念单元/CON-verifiable-goal_可验证目标.md","有效"
"CAS-verification-loop","案例单元","""验证循环：一个具体场景""","解释","CON-verification-loop","概念单元","""验证循环""","""本案例用来说明「验证循环」""","02-内容单元库/案例单元/CAS-verification-loop_验证循环：一个具体场景.md","02-内容单元库/概念单元/CON-verification-loop_验证循环.md","有效"
"CON-agent","概念单元","""AI Agent""","解释","CON-agent-harness","概念单元","""Agent Harness""","""原 kind=part-of（反向）｜来源提出 Agent = Model + Harness；本站在运行组成轴接纳该关系，同时保留 Agent 与 Agent Harness 不同义的行为视角。""","02-内容单元库/概念单元/CON-agent_AI Agent.md","02-内容单元库/概念单元/CON-agent-harness_Agent Harness.md","有效"
"CON-agent","概念单元","""AI Agent""","解释","CON-large-language-model","概念单元","""大语言模型""","""原 kind=part-of（反向）｜模型提供推理与生成，Agent 还需要外部运行系统。""","02-内容单元库/概念单元/CON-agent_AI Agent.md","02-内容单元库/概念单元/CON-large-language-model_大语言模型.md","有效"
"CON-agent-action-space","概念单元","""Agent 行动空间""","回应","CON-permission-boundary","概念单元","""权限边界""","""原 kind=used-with｜可表达的动作还要经过权限边界，才能成为实际允许执行的动作。""","02-内容单元库/概念单元/CON-agent-action-space_Agent 行动空间.md","02-内容单元库/概念单元/CON-permission-boundary_权限边界.md","有效"
"CON-agent-action-space","概念单元","""Agent 行动空间""","回应","CON-tool","概念单元","""工具""","""原 kind=used-with｜工具及其参数结构构成 Agent 行动空间的主要可调用原语。""","02-内容单元库/概念单元/CON-agent-action-space_Agent 行动空间.md","02-内容单元库/概念单元/CON-tool_工具.md","有效"
"CON-agent-action-space","概念单元","""Agent 行动空间""","回应","CON-tool-scoping","概念单元","""工具收窄""","""原 kind=used-with｜工具收窄是在具体步骤中把行动空间限制到模型当前需要且能处理的范围。""","02-内容单元库/概念单元/CON-agent-action-space_Agent 行动空间.md","02-内容单元库/概念单元/CON-tool-scoping_工具收窄.md","有效"
"CON-agent-cli-runtime","概念单元","""Agent CLI 运行时""","回应","CON-agent-harness","概念单元","""Agent Harness""","""原 kind=used-with｜CLI runtime 可作为 Harness 暴露 Agent 工作流执行能力的一种入口，但不承担 Harness 的全部职责。""","02-内容单元库/概念单元/CON-agent-cli-runtime_Agent CLI 运行时.md","02-内容单元库/概念单元/CON-agent-harness_Agent Harness.md","有效"
"CON-agent-cli-runtime","概念单元","""Agent CLI 运行时""","回应","CON-durable-execution","概念单元","""持久化执行""","""原 kind=used-with｜进入脚本与 CI/CD 后，长任务仍需持久化执行机制处理恢复和重试。""","02-内容单元库/概念单元/CON-agent-cli-runtime_Agent CLI 运行时.md","02-内容单元库/概念单元/CON-durable-execution_持久化执行.md","有效"
"CON-agent-elicitation","概念单元","""Agent 信息引出""","回应","CON-agent-loop","概念单元","""Agent 循环""","""原 kind=used-with｜提问工具可阻塞当前循环，等待用户回答后再恢复下一轮决策。""","02-内容单元库/概念单元/CON-agent-elicitation_Agent 信息引出.md","02-内容单元库/概念单元/CON-agent-loop_Agent 循环.md","有效"
"CON-agent-elicitation","概念单元","""Agent 信息引出""","回应","CON-context-engineering","概念单元","""上下文工程""","""原 kind=used-with｜信息引出用于补齐会改变任务判断的缺失上下文。""","02-内容单元库/概念单元/CON-agent-elicitation_Agent 信息引出.md","02-内容单元库/概念单元/CON-context-engineering_上下文工程.md","有效"
"CON-agent-elicitation","概念单元","""Agent 信息引出""","回应","CON-guardrails","概念单元","""护栏""","""原 kind=used-with｜在高风险或边界不清时，主动提问可作为继续行动前的控制路径。""","02-内容单元库/概念单元/CON-agent-elicitation_Agent 信息引出.md","02-内容单元库/概念单元/CON-guardrails_护栏.md","有效"
"CON-agent-handoff","概念单元","""Agent 交接""","回应","CON-agent-lifecycle","概念单元","""Agent 生命周期""","""原 kind=used-with（反向）｜Handoff 是生命周期中改变责任主体的交接协议。""","02-内容单元库/概念单元/CON-agent-handoff_Agent 交接.md","02-内容单元库/概念单元/CON-agent-lifecycle_Agent 生命周期.md","有效"
"CON-agent-handoff","概念单元","""Agent 交接""","回应","CON-subagent-orchestration","概念单元","""子 Agent 编排""","""原 kind=used-with（反向）｜把任务移交给专家 Agent 以及把结果带回主流程都需要交接合同。""","02-内容单元库/概念单元/CON-agent-handoff_Agent 交接.md","02-内容单元库/概念单元/CON-subagent-orchestration_子 Agent 编排.md","有效"
