"unit_a_id","unit_a_type","unit_a_title","unit_b_id","unit_b_type","unit_b_title","shared_themes","shared_keywords","shared_sources","title_similarity","score","candidate_type","candidate_reason","status","note","unit_a_file","unit_b_file"
"CAS-bounded-context","案例单元","""限界上下文：一个具体场景""","CAS-context-compaction","案例单元","""上下文压缩：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-bounded-context_限界上下文：一个具体场景.md","02-内容单元库/案例单元/CAS-context-compaction_上下文压缩：一个具体场景.md"
"CAS-bounded-context","案例单元","""限界上下文：一个具体场景""","CAS-context-engineering","案例单元","""上下文工程：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-bounded-context_限界上下文：一个具体场景.md","02-内容单元库/案例单元/CAS-context-engineering_上下文工程：一个具体场景.md"
"CAS-bounded-context","案例单元","""限界上下文：一个具体场景""","CAS-context-rot","案例单元","""上下文腐烂：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-bounded-context_限界上下文：一个具体场景.md","02-内容单元库/案例单元/CAS-context-rot_上下文腐烂：一个具体场景.md"
"CAS-bounded-context","案例单元","""限界上下文：一个具体场景""","CAS-context-selection","案例单元","""上下文选择：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-bounded-context_限界上下文：一个具体场景.md","02-内容单元库/案例单元/CAS-context-selection_上下文选择：一个具体场景.md"
"CAS-context-compaction","案例单元","""上下文压缩：一个具体场景""","CAS-context-engineering","案例单元","""上下文工程：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-compaction_上下文压缩：一个具体场景.md","02-内容单元库/案例单元/CAS-context-engineering_上下文工程：一个具体场景.md"
"CAS-context-compaction","案例单元","""上下文压缩：一个具体场景""","CAS-context-rot","案例单元","""上下文腐烂：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-compaction_上下文压缩：一个具体场景.md","02-内容单元库/案例单元/CAS-context-rot_上下文腐烂：一个具体场景.md"
"CAS-context-compaction","案例单元","""上下文压缩：一个具体场景""","CAS-context-selection","案例单元","""上下文选择：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-compaction_上下文压缩：一个具体场景.md","02-内容单元库/案例单元/CAS-context-selection_上下文选择：一个具体场景.md"
"CAS-context-engineering","案例单元","""上下文工程：一个具体场景""","CAS-context-rot","案例单元","""上下文腐烂：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-engineering_上下文工程：一个具体场景.md","02-内容单元库/案例单元/CAS-context-rot_上下文腐烂：一个具体场景.md"
"CAS-context-engineering","案例单元","""上下文工程：一个具体场景""","CAS-context-selection","案例单元","""上下文选择：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-engineering_上下文工程：一个具体场景.md","02-内容单元库/案例单元/CAS-context-selection_上下文选择：一个具体场景.md"
"CAS-context-rot","案例单元","""上下文腐烂：一个具体场景""","CAS-context-selection","案例单元","""上下文选择：一个具体场景""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-rot_上下文腐烂：一个具体场景.md","02-内容单元库/案例单元/CAS-context-selection_上下文选择：一个具体场景.md"
"CAS-context-window","案例单元","""上下文窗口：一个具体场景""","CAS-context","案例单元","""上下文：一个具体场景""","""眼前真正有什么""","""眼前真正有什么""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-context-window_上下文窗口：一个具体场景.md","02-内容单元库/案例单元/CAS-context_上下文：一个具体场景.md"
"CAS-guardrails","案例单元","""护栏：一个具体场景""","CAS-prompt","案例单元","""提示：一个具体场景""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-guardrails_护栏：一个具体场景.md","02-内容单元库/案例单元/CAS-prompt_提示：一个具体场景.md"
"CAS-guardrails","案例单元","""护栏：一个具体场景""","CAS-sandbox","案例单元","""沙箱：一个具体场景""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-guardrails_护栏：一个具体场景.md","02-内容单元库/案例单元/CAS-sandbox_沙箱：一个具体场景.md"
"CAS-prompt","案例单元","""提示：一个具体场景""","CAS-sandbox","案例单元","""沙箱：一个具体场景""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-prompt_提示：一个具体场景.md","02-内容单元库/案例单元/CAS-sandbox_沙箱：一个具体场景.md"
"CAS-prompt","案例单元","""提示：一个具体场景""","CAS-system-prompt","案例单元","""系统提示：一个具体场景""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.80","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-prompt_提示：一个具体场景.md","02-内容单元库/案例单元/CAS-system-prompt_系统提示：一个具体场景.md"
"CAS-tool-scoping","案例单元","""工具收窄：一个具体场景""","CAS-tool","案例单元","""工具：一个具体场景""","""AI 如何接触外部世界""","""AI 如何接触外部世界""","""SRC-EXT-003""","0.78","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/案例单元/CAS-tool-scoping_工具收窄：一个具体场景.md","02-内容单元库/案例单元/CAS-tool_工具：一个具体场景.md"
"SOL-agent","方案单元","""AI Agent：可执行动作路径""","SOL-subagent-orchestration","方案单元","""子 Agent 编排：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.80","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent_AI Agent：可执行动作路径.md","02-内容单元库/方案单元/SOL-subagent-orchestration_子 Agent 编排：可执行动作路径.md"
"SOL-agent-action-space","方案单元","""Agent 行动空间：可执行动作路径""","SOL-agent-tool-contract","方案单元","""Agent 工具契约：可执行动作路径""","""AI 如何接触外部世界""","""AI 如何接触外部世界""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-action-space_Agent 行动空间：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-tool-contract_Agent 工具契约：可执行动作路径.md"
"SOL-agent-cli-runtime","方案单元","""Agent CLI 运行时：可执行动作路径""","SOL-agent","方案单元","""AI Agent：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.76","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-cli-runtime_Agent CLI 运行时：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent_AI Agent：可执行动作路径.md"
"SOL-agent-elicitation","方案单元","""Agent 信息引出：可执行动作路径""","SOL-agent-stop-conditions","方案单元","""Agent 终止条件：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-elicitation_Agent 信息引出：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-stop-conditions_Agent 终止条件：可执行动作路径.md"
"SOL-agent-elicitation","方案单元","""Agent 信息引出：可执行动作路径""","SOL-skill","方案单元","""Agent Skill：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-elicitation_Agent 信息引出：可执行动作路径.md","02-内容单元库/方案单元/SOL-skill_Agent Skill：可执行动作路径.md"
"SOL-agent-handoff","方案单元","""Agent 交接：可执行动作路径""","SOL-agent-harness","方案单元","""Agent Harness：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-handoff_Agent 交接：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-harness_Agent Harness：可执行动作路径.md"
"SOL-agent-handoff","方案单元","""Agent 交接：可执行动作路径""","SOL-agent-lifecycle","方案单元","""Agent 生命周期：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-handoff_Agent 交接：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-lifecycle_Agent 生命周期：可执行动作路径.md"
"SOL-agent-handoff","方案单元","""Agent 交接：可执行动作路径""","SOL-subagent-orchestration","方案单元","""子 Agent 编排：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.80","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-handoff_Agent 交接：可执行动作路径.md","02-内容单元库/方案单元/SOL-subagent-orchestration_子 Agent 编排：可执行动作路径.md"
"SOL-agent-harness","方案单元","""Agent Harness：可执行动作路径""","SOL-agent-lifecycle","方案单元","""Agent 生命周期：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-harness_Agent Harness：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-lifecycle_Agent 生命周期：可执行动作路径.md"
"SOL-agent-harness","方案单元","""Agent Harness：可执行动作路径""","SOL-agent-loop","方案单元","""Agent 循环：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-harness_Agent Harness：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-loop_Agent 循环：可执行动作路径.md"
"SOL-agent-harness","方案单元","""Agent Harness：可执行动作路径""","SOL-agent","方案单元","""AI Agent：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-harness_Agent Harness：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent_AI Agent：可执行动作路径.md"
"SOL-agent-harness","方案单元","""Agent Harness：可执行动作路径""","SOL-harness-engineering","方案单元","""Harness 工程：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.81","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-harness_Agent Harness：可执行动作路径.md","02-内容单元库/方案单元/SOL-harness-engineering_Harness 工程：可执行动作路径.md"
"SOL-agent-harness","方案单元","""Agent Harness：可执行动作路径""","SOL-subagent-orchestration","方案单元","""子 Agent 编排：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-harness_Agent Harness：可执行动作路径.md","02-内容单元库/方案单元/SOL-subagent-orchestration_子 Agent 编排：可执行动作路径.md"
"SOL-agent-lifecycle","方案单元","""Agent 生命周期：可执行动作路径""","SOL-agent-loop","方案单元","""Agent 循环：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-lifecycle_Agent 生命周期：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent-loop_Agent 循环：可执行动作路径.md"
"SOL-agent-lifecycle","方案单元","""Agent 生命周期：可执行动作路径""","SOL-agent","方案单元","""AI Agent：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-lifecycle_Agent 生命周期：可执行动作路径.md","02-内容单元库/方案单元/SOL-agent_AI Agent：可执行动作路径.md"
"SOL-agent-lifecycle","方案单元","""Agent 生命周期：可执行动作路径""","SOL-subagent-orchestration","方案单元","""子 Agent 编排：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-lifecycle_Agent 生命周期：可执行动作路径.md","02-内容单元库/方案单元/SOL-subagent-orchestration_子 Agent 编排：可执行动作路径.md"
"SOL-agent-loop","方案单元","""Agent 循环：可执行动作路径""","SOL-subagent-orchestration","方案单元","""子 Agent 编排：可执行动作路径""","""AI 如何持续行动""","""AI 如何持续行动""","""SRC-EXT-003""","0.80","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-loop_Agent 循环：可执行动作路径.md","02-内容单元库/方案单元/SOL-subagent-orchestration_子 Agent 编排：可执行动作路径.md"
"SOL-agent-stop-conditions","方案单元","""Agent 终止条件：可执行动作路径""","SOL-skill","方案单元","""Agent Skill：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-agent-stop-conditions_Agent 终止条件：可执行动作路径.md","02-内容单元库/方案单元/SOL-skill_Agent Skill：可执行动作路径.md"
"SOL-bounded-context","方案单元","""限界上下文：可执行动作路径""","SOL-context-compaction","方案单元","""上下文压缩：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-bounded-context_限界上下文：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-compaction_上下文压缩：可执行动作路径.md"
"SOL-bounded-context","方案单元","""限界上下文：可执行动作路径""","SOL-context-engineering","方案单元","""上下文工程：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-bounded-context_限界上下文：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-engineering_上下文工程：可执行动作路径.md"
"SOL-bounded-context","方案单元","""限界上下文：可执行动作路径""","SOL-context-rot","方案单元","""上下文腐烂：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-bounded-context_限界上下文：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-rot_上下文腐烂：可执行动作路径.md"
"SOL-bounded-context","方案单元","""限界上下文：可执行动作路径""","SOL-context-selection","方案单元","""上下文选择：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-bounded-context_限界上下文：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-selection_上下文选择：可执行动作路径.md"
"SOL-bounded-context","方案单元","""限界上下文：可执行动作路径""","SOL-dynamic-context-assembly","方案单元","""动态上下文装配：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.77","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-bounded-context_限界上下文：可执行动作路径.md","02-内容单元库/方案单元/SOL-dynamic-context-assembly_动态上下文装配：可执行动作路径.md"
"SOL-code-execution","方案单元","""代码执行：可执行动作路径""","SOL-tool","方案单元","""工具：可执行动作路径""","""AI 如何接触外部世界""","""AI 如何接触外部世界""","""SRC-EXT-003""","0.78","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-code-execution_代码执行：可执行动作路径.md","02-内容单元库/方案单元/SOL-tool_工具：可执行动作路径.md"
"SOL-context-compaction","方案单元","""上下文压缩：可执行动作路径""","SOL-context-engineering","方案单元","""上下文工程：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-compaction_上下文压缩：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-engineering_上下文工程：可执行动作路径.md"
"SOL-context-compaction","方案单元","""上下文压缩：可执行动作路径""","SOL-context-rot","方案单元","""上下文腐烂：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-compaction_上下文压缩：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-rot_上下文腐烂：可执行动作路径.md"
"SOL-context-compaction","方案单元","""上下文压缩：可执行动作路径""","SOL-context-selection","方案单元","""上下文选择：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-compaction_上下文压缩：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-selection_上下文选择：可执行动作路径.md"
"SOL-context-compaction","方案单元","""上下文压缩：可执行动作路径""","SOL-dynamic-context-assembly","方案单元","""动态上下文装配：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.77","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-compaction_上下文压缩：可执行动作路径.md","02-内容单元库/方案单元/SOL-dynamic-context-assembly_动态上下文装配：可执行动作路径.md"
"SOL-context-engineering","方案单元","""上下文工程：可执行动作路径""","SOL-context-rot","方案单元","""上下文腐烂：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-engineering_上下文工程：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-rot_上下文腐烂：可执行动作路径.md"
"SOL-context-engineering","方案单元","""上下文工程：可执行动作路径""","SOL-context-selection","方案单元","""上下文选择：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-engineering_上下文工程：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-selection_上下文选择：可执行动作路径.md"
"SOL-context-engineering","方案单元","""上下文工程：可执行动作路径""","SOL-dynamic-context-assembly","方案单元","""动态上下文装配：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.77","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-engineering_上下文工程：可执行动作路径.md","02-内容单元库/方案单元/SOL-dynamic-context-assembly_动态上下文装配：可执行动作路径.md"
"SOL-context-rot","方案单元","""上下文腐烂：可执行动作路径""","SOL-context-selection","方案单元","""上下文选择：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-rot_上下文腐烂：可执行动作路径.md","02-内容单元库/方案单元/SOL-context-selection_上下文选择：可执行动作路径.md"
"SOL-context-rot","方案单元","""上下文腐烂：可执行动作路径""","SOL-dynamic-context-assembly","方案单元","""动态上下文装配：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.77","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-rot_上下文腐烂：可执行动作路径.md","02-内容单元库/方案单元/SOL-dynamic-context-assembly_动态上下文装配：可执行动作路径.md"
"SOL-context-selection","方案单元","""上下文选择：可执行动作路径""","SOL-dynamic-context-assembly","方案单元","""动态上下文装配：可执行动作路径""","""信息如何进入工作台""","""信息如何进入工作台""","""SRC-EXT-003""","0.77","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-selection_上下文选择：可执行动作路径.md","02-内容单元库/方案单元/SOL-dynamic-context-assembly_动态上下文装配：可执行动作路径.md"
"SOL-context-window","方案单元","""上下文窗口：可执行动作路径""","SOL-context","方案单元","""上下文：可执行动作路径""","""眼前真正有什么""","""眼前真正有什么""","""SRC-EXT-003""","0.83","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-context-window_上下文窗口：可执行动作路径.md","02-内容单元库/方案单元/SOL-context_上下文：可执行动作路径.md"
"SOL-guardrails","方案单元","""护栏：可执行动作路径""","SOL-prompt","方案单元","""提示：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.78","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-guardrails_护栏：可执行动作路径.md","02-内容单元库/方案单元/SOL-prompt_提示：可执行动作路径.md"
"SOL-guardrails","方案单元","""护栏：可执行动作路径""","SOL-sandbox","方案单元","""沙箱：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.78","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-guardrails_护栏：可执行动作路径.md","02-内容单元库/方案单元/SOL-sandbox_沙箱：可执行动作路径.md"
"SOL-large-language-model","方案单元","""大语言模型：可执行动作路径""","SOL-llm-token","方案单元","""模型词元：可执行动作路径""","""眼前真正有什么""","""眼前真正有什么""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-large-language-model_大语言模型：可执行动作路径.md","02-内容单元库/方案单元/SOL-llm-token_模型词元：可执行动作路径.md"
"SOL-prompt","方案单元","""提示：可执行动作路径""","SOL-sandbox","方案单元","""沙箱：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.78","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-prompt_提示：可执行动作路径.md","02-内容单元库/方案单元/SOL-sandbox_沙箱：可执行动作路径.md"
"SOL-prompt","方案单元","""提示：可执行动作路径""","SOL-system-prompt","方案单元","""系统提示：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.82","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-prompt_提示：可执行动作路径.md","02-内容单元库/方案单元/SOL-system-prompt_系统提示：可执行动作路径.md"
"SOL-prompt-engineering","方案单元","""提示词工程：可执行动作路径""","SOL-prompt","方案单元","""提示：可执行动作路径""","""人如何控制 AI""","""人如何控制 AI""","""SRC-EXT-003""","0.75","15","同义重复候选","自动识别","待人工判断","","02-内容单元库/方案单元/SOL-prompt-engineering_提示词工程：可执行动作路径.md","02-内容单元库/方案单元/SOL-prompt_提示：可执行动作路径.md"
